Route_name,Route_link
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Haldia to Calcutta,https://www.redbus.in/bus-tickets/haldia-to-kolkata
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata
Kolkata to Bankura,https://www.redbus.in/bus-tickets/kolkata-to-bankura
Kolkata to Midnapore,https://www.redbus.in/bus-tickets/kolkata-to-midnapore
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol
Kolkata to Nimtouri,https://www.redbus.in/bus-tickets/kolkata-to-nimtouri
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata
Kolkata to Contai (Kanthi),https://www.redbus.in/bus-tickets/kolkata-to-contai-kanthi
Kolkata to Kolaghat,https://www.redbus.in/bus-tickets/kolkata-to-kolaghat
Kolkata to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/kolkata-to-nandakumar
Kolkata to Mecheda (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-mecheda-west-bengal
Digha to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/digha-to-durgapur
Midnapore to Barasat (West Bengal),https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal
